"Now Shopping by","Huidige filters"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Voer een geldige postcode in (Ex: 90602 of 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig € bedrag op. Bijvoorbeeld: €100,00."
"Please enter a number 0 or greater in this field.","Voer in dit veld a.u.b. een getal gelijk aan of groter dan 0 in."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Voer een geldige CSS-lengte in (Vb: 100px, 77pt, 20em, .5ex of 50%)."
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"Please enter a valid integer in this field.","Voer a. u. b. een geldig getal in dit veld in."
"The value is not within the specified range.","De waarde valt niet in het verplichte bereik."
"Please use letters only (a-z or A-Z) in this field.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Gebruik uitsluitend letters (a-z en A-Z), cijfers (0-9) of underscores (_) in dit veld, het eerste teken moet een een letter zijn."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Gebruik uitsluitend letters (a-z en A-Z) of nummers (0-9) in dit veld. Gebruik geen spaties of andere tekens."
"Please enter a valid date.","Geef a.u.b. een geldige datum op."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Voer een geldige URL-sleutel in (Ex: ""voorbeeld-pagina"", ""voorbeeld-pagina.html"" of ""anderniveau/voorbeeld-pagina"")."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please select State/Province.","Selecteer een staat/provincie."
"Please enter a value less than or equal to {0}.","Voer een waarde in die minder dan of gelijk is aan {0}."
"Please enter a value greater than or equal to {0}.","Voer een waarde die groter dan of gelijk is aan {0}."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Please enter issue number or start date for switch/solo card type.","Voer een geldig nummer of een geldige startdatum in voor het switch/solo kaarttype."
"This is a required field.","Dit is een verplicht veld."
"Please enter positive number in this field.","Een positief getal invullen a. u. b."
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"We don't recognize or support this file extension type.","We herkennen of ondersteunen dit bestandsformaat type niet."
"File you are trying to upload exceeds maximum file size limit.","Bestand dat u probeert te uploaden overschrijdt de maximale bestandsgrootte limiet."
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.","Gebruik SCRIPT tag met het kenmerk SRC of met goede inhoud om JavaScript te voegen aan het document."
"The date is not within the specified range.","De datum valt niet in het opgegeven bereik."
Attention,Attentie
OK,Oké
Close,Sluiten
Ok,OK
"Label Button 2","Label knop 2"
"Label Actions One","Label acties één"
"Label Actions Two","Label acties twee"
"Some Dynamic Actions","Sommige dynamische acties"
"Log JS Errors to Session Storage","Log JS fouten naar sessie opslag"
"Log JS Errors to Session Storage Key","Log JS fouten naar Session Storage Key"
"
                            settings/callback/provider
                        ","
settings/callback/provider
                        "
"
                        settings/addButtonLabel
                    ","
settings/addButtonLabel
                    "
"
                        formElements/*[name(.)=../../@formElement]/settings/description
                    ","
formElements/*[name(.)=../../@formElement]/settings/description
                    "
"Initialization error component, check the spelling of the name or the correctness of the call.","Initialisatie fout component, kijk de spelling van de naam of de juistheid van de oproep na."
"Select Items","Items selecteren"
Submit,Bevestig
Columns,Kolommen
Reset,Resetten
Apply,Toepassen
"We couldn't find any records.","Geen record(s) gevonden."
Custom,Aangepast
"per page","per pagina"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer zes of meer tekens in. Spaties aan begin en eind zullen worden genegeerd."
ui/grid/filters/elements/select,UI/grid/filters/elementen/select
"Please enter a quantity greater than 0.","Voer een getal groter dan 0 in."
"The fewest you may purchase is %1.","Het minimale dat u kunt bestellen is %1."
"The maximum you may purchase is %1.","Het maximale dat u kunt bestellen is %1."
"You can buy this product only in quantities of %1 at a time.","U kunt dit product enkel in veelvouden van %1 kopen."
"First character must be letter.","Eerste teken moet een letter zijn."
"If enabled, can be used by functional tests for extended reporting","Indien ingeschakeld kan het gebruikt worden voor functionele testen voor uitgebreide rapportages"
"Use this key to retrieve collected js errors","Gebruik deze toets om de verzamelde js fouten op te halen"
"No marginal white space please","Geen spaties toegelaten"
"Please enter a valid percentage discount value greater than 0.","Voer een geldige kortingswaarde in die groter is dan 0."
"Please enter a value less than or equal to %s.","Voer een waarde in die minder dan of gelijk is aan %s."
"Please enter a value greater than or equal to %s.","Voer een waarde die groter dan of gelijk is aan %s."
"Insert Images...","Afbeelding invoegen..."
"The ""formElement"" configuration parameter is required for the ""%1"" field.","De ""formElement"" parameter configuratie is vereist voor het veld ""%1""."
"An item needs to be selected. Select and try again.","Een item moet worden geselecteerd. Selecteer en probeer het opnieuw."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'De XML in het bestand ""%1"" is ongeldig:' . ""\n%2\nControleer het XML-bestand en probeer het opnieuw."""
"'The XML in file ""%1"" is invalid.' . ""\n%2\nVerify the XML and try again.""","'De XML in het bestand ""%1"" is ongeldig.' . ""\n%2\nControleer het XML-bestand en probeer het opnieuw."""
"The parameter ""class"" is missing. Set the ""class"" and try again.","De parameter ""class"" ontbreekt. Stel de ""class"" in en probeer het opnieuw."
"The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again.","De parameter ""sortOrder"" ontbreekt. Stel de ""sortOrder"" in en probeer het opnieuw."
"The ""%1"" UI component element name is invalid. Verify the name and try again.","De ""%1"" UI-component element naam is ongeldig. Controleer de naam en probeer het opnieuw."
"The bookmark with ""%1"" ID doesn't exist. Verify your information and try again.","De bladwijzer met ""%1""-ID bestaat niet. Controleer uw gegevens en probeer het opnieuw."
"The """" UI component element name is invalid. Verify the name and try again.","De """" UI-component element naam is ongeldig. Controleer de naam en probeer het opnieuw."
"was not uploaded","is niet geüpload"
"Entity with ID: %s doesn't exist","Entiteit met ID: %s bestaat niet"
"Open in new tab","Openen in nieuw tabblad"
"Wrong color format. Please specify color in HEX, RGBa, HSVa, HSLa or use color name.","Verkeerd kleurenformaat. Geef de kleur op in HEX, RGBa, HSVa, HSLa of gebruik de kleurnaam."
"This link is not allowed.","Deze link is niet toegestaan."
"Please use only lowercase letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Gebruik uitsluitend kleine letters (a-z), cijfers (0-9) of underscores (_) in dit veld, het eerste teken moet een een letter zijn."
"Attribute Properties",Attribuut-eigenschappen
"Default Label","Standaard Label"
"Default label","Standaard Label"
"Attribute Code",Attribuutcode
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dit wordt intern gebruikt. Zorg ervoor dat u geen spaties of meer dan %1 symbolen gebruikt."
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Values Required","Waarden vereist"
"Default Value",Standaardwaarde
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (wordt niet gedeeld met andere producten)"
"Not shared with other products.","Niet gedeeld met andere producten."
"Input Validation for Store Owner","Invoervalidatie voor winkeleigenaar"
Required,Vereist
System,Systeem
"Decimal Number","Decimaal Nummer"
"Integer Number","Integer nummer"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) of cijfers (0-9)"
"Text Field",Tekstveld
"Text Area",Tekstgedeelte
Yes/No,Ja/Nee
"Multiple Select",Multi-select
"Input type ""%value%"" not found in the input types list.","Input-soort ""%value%"" niet gevonden in input-soorten-lijst."
"Attribute object is undefined","Attribuut object is niet opgegeven"
"Entity object is undefined","Entiteit is niet opgegeven"
"""%1"" invalid type entered.","""%s"" ongeldige tekens ingevoerd."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" bevat niet-alfabetische of niet-numerieke tekens."
"""%1"" is an empty string.","""%1"" is een lege string."
"""%1"" contains non-numeric characters.","""%1"" bevat niet-numerieke tekens."
"""%1"" contains non-alphabetic characters.","""%1"" bevat niet-alfabetische tekens."
"""%1"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%1"" is not a valid hostname.","""%s"" is geen geldige hostnaam."
"""%1"" uses too many characters.","""%1"" te veel tekens worden gebruikt."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ziet eruit als een IP-adres, dit is een onaanvaardbaar formaat."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt een DNS hostname maar bevat een streepje in een ongeldige positie."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format","""%1"" is geen geldig formaat voor afbeeldingen"
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" mag niet meer dan %2 regels bevatten."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
